name,instructions,category,glass,ingredient-1,ingredient-2,ingredient-3,ingredient-4,ingredient-5,ingredient-6,ingredient-7,ingredient-8,ingredient-9,ingredient-10,ingredient-11,ingredient-12,measurement-1,measurement-2,measurement-3,measurement-4,measurement-5,measurement-6,measurement-7,measurement-8,measurement-9,measurement-10,measurement-11,measurement-12
Eastern Sour,Shake with ice and strain into ice-filled highball glass. Garnish with orange and lime.,Whiskies,Highball Glass, Bourbon whiskey, Orange juice, Fresh Lime Juice, orgeat or almond syrup, Simple Syrup, Orange and lime wheels,,,,,,,2 oz,1 1/2 oz,1 oz,1/4 oz,1/4 oz,,,,,,,
K. C. B. Cocktail,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Classics,Cocktail Glass, Kummel, Mr. Boston Gin, Mr. Boston Apricot Flavored Brandy, Lemon Juice,,,,,,,,,1/2 oz,1 1/2 oz,1/4 oz,1/4 oz,,,,,,,,
Easter Elchies,Stir with ice and strain into chilled cocktail glass. Garnish with brandied cherry.,Whiskies,Cocktail Glass, Single-malt Scotch whisky, Cherry Heering, Punt e Mes, Orange Bitters,,,,,,,,,2 oz,1/2 oz,1/2 oz,1 oz, Brandied cherry,,,,,,,
Dufftown Flip,Shake without ice. Then shake with ice and strain into snifter. Top with nutmeg.,Whiskies,Brandy Snifter, Blended Scotch Whiskey, Port, Demerara Syrup, Almond milk, Whole Egg, Freshly grated nutmeg,,,,,,,2 oz,1/2 oz,1/2 oz,1/2 oz,1 oz,,,,,,,
Harvard Cooler,Stir brandy and syrup in Collins glass. Add ice cubes and fill with soda water or ginger ale. Insert spiral of orange or lemon zest (or both) and dangle end(s) over rim of glass.,Brandy,Collins Glass, Apple Brandy, Simple Syrup, Soda water or ginger ale, Orange and/or lemon zest spiral,,,,,,,,,2 oz,1/2 oz,,,,,,,,,,
The Duboudreau Cocktail,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Whiskies,Cocktail Glass, Straight rye whiskey, Dubonnet Rouge, Fernet-Branca, Elderflower liqueur,,,,,,,,,2 oz,3/4 oz,1/4 oz,1/4 oz, Lemon twist,,,,,,,
Irish Whisky ,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Classics,Cocktail Glass, Mr. Boston Triple Sec, Absinthe Substitute, Maraschino, Bitters, Irish Whiskey,,,,,,,,1/2 oz,1/2 oz,1/4 oz,1 oz,2 oz,,,,,,,
Dubliner,Stir with ice and strain into chilled cocktail glass. Flame orange twist and add.,Whiskies,Cocktail Glass, Irish Whiskey, Sweet Vermouth, Grand Marnier, Orange Bitters,,,,,,,,,2 oz,1/2 oz,1/2 oz,2 oz," Orange twist, flamed",,,,,,,
Double Standard Sour,Shake with ice and strain into chilled cocktail glass. Garnish with lemon and cherry.,Whiskies,Cocktail Glass, Rye or bourbon whiskey, Gin, Fresh lemon juice, White creme de menthe, Grenadine, Simple Syrup,,,,,,,3/4 oz,3/4 oz,1 oz,1/2 oz,1/2 oz,1/4 oz,,,,,,
Dixie Whiskey Cocktail,Shake with ice and strain into chilled cocktail glass.,Whiskies,Cocktail Glass, Bourbon whiskey, White creme de menthe, Triple Sec, Simple Syrup, Angostura Bitters,,,,,,,,2 oz,1/2 oz,1/2 oz,1/4 oz,1 oz,,,,,,,
Hill Billy Highball,"Pour into highball glass over ice cubes, add a twist of lemon peel, and stir.",Cocktail Classics,Highball Glass, Georgia Moon Corn Whiskey, Mountain Dew,,,,,,,,,,,2 oz,,,,,,,,,,,
The Titian,Shake with ice and strain into chilled cocktail glass. Garnish with raspberry.,Vodka,Cocktail Glass, Orange-flavored vodka, Grand Marnier, Passion Fruit Juice, Fresh Lime Juice, Pomegranate syrup, Fresh raspberry,,,,,,,1 oz,1/2 oz,1 oz,1/2 oz,1/2 oz,,,,,,,
Tiger Tanaka,Muddle cilantro and ginger in mixing glass. Add remaining ingredients and shake. Double-strain into chilled cocktail glass.,Vodka,Cocktail Glass, Fresh cilantro leaves, Slice peeled fresh ginger, Citrus-flavored vodka, Limoncello, Pineapple Juice,,,,,,,,3 oz,1 oz,2 oz,1/2 oz,3/4 oz,,,,,,,
Grenadine Rickey,Pour into highball glass over ice cubes and fill with carbonated water. Stir. Put a slice of lime in glass.,Cocktail Classics,Highball Glass, Juice of a Lime, Grenadine,,,,,,,,,,,1/2 oz,1 1/2 oz,,,,,,,,,,
Thyme Collins,"Put first four ingredients in mixing glass, add ice, and shake well. Strain into ice-filled Collins glass. Top with bitter lemon soda and stir briefly. Garnish with long thyme sprigs.",Vodka,Collins Glass, Citrus-flavored vodka, Mint syrup, Fresh lemon juice, Thyme sprig, Bitter lemon soda, Long thyme sprigs,,,,,,,2 oz,1 oz,1 oz,1 oz,3 oz,2 oz,,,,,,
Tabby Cat,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Vodka,Cocktail Glass, Dubonnet Rouge, Orange-flavored vodka, Orange Bitters, Lemon twist,,,,,,,,,2 oz,1 oz,2 oz,,,,,,,,,
God Child,Shake well with cracked ice. Strain and serve in a champagne glass.,Cocktail Classics,Champagne Flute, Amaretto di Saronno, Mr. Boston Vodka, Heavy cream,,,,,,,,,,1 oz,1 oz,1 oz,,,,,,,,,
Sweet Maria,Shake with ice and strain into chilled cocktail glass.,Vodka,Cocktail Glass, Vodka, Amaretto, half-and-half,,,,,,,,,,1 oz,1/2 oz,1/2 oz,,,,,,,,,
Dirty Harry,Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Stir remaining ingredients with ice and strain into glass. Garnish with cherry.,Whiskies,Cocktail Glass, Absinthe, Straight rye whiskey, Sweet Vermouth, Maraschino liqueur,,,,,,,,,1 oz,2 oz,1/2 oz,1/4 oz, Maraschino cherry,,,,,,,
Harvard Cocktail,Shake with ice and strain into chilled cocktail glass.,Brandy,Cocktail Glass, Brandy, Sweet Vermouth, Fresh lemon juice, Grenadine, Angostura Bitters,,,,,,,,1 1/2 oz,3/4 oz,1/2 oz,1 oz,1 oz,,,,,,,
Gin and Milk Punch,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Cocktail Classics,Collins Glass, Powdered Sugar, Mr. Boston Gin, Milk,,,,,,,,,,1 oz,2 oz,1 oz,,,,,,,,,
Surf Rider,Shake with ice and strain into ice-filled highball glass. Garnish with orange and cherry.,Vodka,Highball Glass, Vodka, Sweet Vermouth, Fresh orange juice, Fresh lemon juice, Grenadine," Orange half-wheel, maraschino cherry",,,,,,,2 oz,1/2 oz,2 oz,1/2 oz,1/4 oz,,,,,,,
Dinah Cocktail,Shake well with ice and strain into chilled cocktail glass. Garnish with mint.,Whiskies,Cocktail Glass, Bourbon whiskey, Fresh lemon juice, Simple Syrup, Fresh mint leaf,,,,,,,,,1 1/2 oz,3/4 oz,1/2 oz,,,,,,,,,
Tea Saronno,"Pour hot tea into a stemmed glass, using a spoon in glass to prevent cracking. Add Amaretto di Saronno but do not stir. Top with chilled whipped cream.",Cocktail Classics,Stem Glass,Hot Tea, Amaretto di Saronno, Whipped cream,,,,,,,,,,6 oz,1 1/2 oz,1 oz,,,,,,,,,
The Summer Of Love,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Vodka,Cocktail Glass, Orange-flavored vodka, Rose water, Lillet Blanc, Black raspberry liqueur,,,,,,,,,2 oz,2 oz,1 oz,1/4 oz,,,,,,,,
Devil's Soul,Stir with ice and strain into cocktail glass. Flame orange twist and add to glass.,Whiskies,Cocktail Glass, Straight rye whiskey, Mezcal, Amaro, Aperol, Elderflower liqueur," Orange twist, flamed",,,,,,,1 1/2 oz,1/2 oz,1/2 oz,1/4 oz,1/4 oz,,,,,,,
Deshler,Stir with ice and strain into chilled champagne flute. Add lemon twist.,Whiskies,Champagne Flute, Straight rye whiskey, Dubonnet Rouge, Triple Sec, Angostura Bitters,,,,,,,,,1 1/2 oz,1/2 oz,1/4 oz,2 oz, Lemon twist,,,,,,,
T.N.T. No. 1,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Thompson Blended Whiskey, Absinthe Substitute,,,,,,,,,,,1 1/2 oz,1 1/2 oz,,,,,,,,,,
Stupid Cupid,Shake with ice and strain into chilled cocktail glass. Garnish with cherry.,Vodka,Cocktail Glass, Citrus-flavored vodka, Sloe gin, Simple Syrup, Fresh lemon juice,,,,,,,,,2 oz,1/2 oz,1 oz,1 oz, Maraschino cherry,,,,,,,
Derby,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Whiskies,Cocktail Glass, Bourbon whiskey, Benedictine, Angostura Bitters, Lemon twist,,,,,,,,,2 oz,1/4 oz,1 oz,,,,,,,,,
Stockholm 75,"Rim chilled cocktail glass with lemon and sugar. Shake vodka, syrup, and lemon juice with ice. Strain into glass. Fill with Champagne",Vodka,Cocktail Glass," Lemon wedge, superfine sugar", Citrus-flavored vodka, Simple Syrup, Fresh lemon juice, Chilled Champagne,,,,,,,,For glass,3/4 oz,3/4 oz,3/4 oz,3 oz,,,,,,,
